model,split,recall,precision,f1,top_10pct_recall,top_20pct_recall,auc,pr_auc
logistic_regression,valid,0.8393574297188755,0.0015220810999766953,0.0030386519435014283,0.7911646586345381,0.9116465863453815,0.9347801318538419,0.005203852092689877
random_forest,valid,0.4979919678714859,0.005585333993964236,0.011046770601336303,0.7791164658634538,0.8995983935742972,0.933573595112283,0.007437715128847673
lightgbm,valid,0.6104417670682731,0.0012747614015666147,0.0025442098303581143,0.5943775100401606,0.6345381526104418,0.6803839169011653,0.0008994776267783215
logistic_regression,test,0.797752808988764,0.0014175900968353798,0.00283015107426157,0.7602996254681648,0.8614232209737828,0.9138647460787002,0.005345333444568445
random_forest,test,0.5430711610486891,0.005635006995181098,0.0111542751644294,0.7565543071161048,0.846441947565543,0.9041941790901427,0.00997410454821714
lightgbm,test,0.6404494382022472,0.0012881064834693002,0.002571041948579161,0.6142322097378277,0.6591760299625468,0.6932947255891394,0.0009332001531465788
